source,target,weight
on escalator going up,walking at 3.5 mph,0
on escalator going up,walking at 3 mph,0
on escalator going up,walking outdoor,0
on escalator going up,walking stairs up,0
on escalator going up,walking stairs down,1
on escalator going up,running at 5.5 mph 5% grade on treadmill,0
on escalator going up,biking outdoor,0
on escalator going up,biking stationary at 300 KPM/min,0
on escalator going up,vending machine,0
on escalator going up,frisbee,0
on escalator going up,lying on back,0
on escalator going up,sweeping,0
on escalator going up,folding pile of towels,0
on escalator going up,shelf unloading,0
on escalator going up,shelf reloading,0
on escalator going up,jumping jacks,0
running at 5.5 mph 5% grade on treadmill,sitting,0
running at 5.5 mph 5% grade on treadmill,standing,0
running at 5.5 mph 5% grade on treadmill,on escalator going up,0
running at 5.5 mph 5% grade on treadmill,in elevator going up,0
running at 5.5 mph 5% grade on treadmill,walking at 1 mph,0
running at 5.5 mph 5% grade on treadmill,walking at 2 mph,0
running at 5.5 mph 5% grade on treadmill,walking at 3.5 mph,0
running at 5.5 mph 5% grade on treadmill,walking at 3 mph,0
running at 5.5 mph 5% grade on treadmill,walking outdoor,0
running at 5.5 mph 5% grade on treadmill,walking stairs up,0
running at 5.5 mph 5% grade on treadmill,walking stairs down,0
running at 5.5 mph 5% grade on treadmill,running at 5.5 mph 5% grade on treadmill,37
running at 5.5 mph 5% grade on treadmill,biking outdoor,0
running at 5.5 mph 5% grade on treadmill,biking stationary at 300 KPM/min,0
running at 5.5 mph 5% grade on treadmill,vending machine,0
running at 5.5 mph 5% grade on treadmill,frisbee,1
running at 5.5 mph 5% grade on treadmill,lying on back,0
running at 5.5 mph 5% grade on treadmill,sweeping,0
running at 5.5 mph 5% grade on treadmill,folding pile of towels,0
running at 5.5 mph 5% grade on treadmill,shelf unloading,0
running at 5.5 mph 5% grade on treadmill,shelf reloading,0
running at 5.5 mph 5% grade on treadmill,jumping jacks,0
shelf reloading,sitting,0
shelf reloading,standing,2
shelf reloading,on escalator going up,0
shelf reloading,in elevator going up,0
shelf reloading,walking at 1 mph,0
shelf reloading,walking at 2 mph,0
shelf reloading,walking at 3.5 mph,0
shelf reloading,walking at 3 mph,0
shelf reloading,walking outdoor,0
shelf reloading,walking stairs up,0
shelf reloading,walking stairs down,0
shelf reloading,running at 5.5 mph 5% grade on treadmill,0
shelf reloading,biking outdoor,0
shelf reloading,biking stationary at 300 KPM/min,0
shelf reloading,vending machine,2
shelf reloading,frisbee,1
shelf reloading,lying on back,0
shelf reloading,sweeping,2
shelf reloading,folding pile of towels,0
shelf reloading,shelf unloading,0
shelf reloading,shelf reloading,0
shelf reloading,jumping jacks,0
shelf unloading,sitting,0
shelf unloading,standing,0
shelf unloading,on escalator going up,0
shelf unloading,in elevator going up,0
shelf unloading,walking at 1 mph,0
shelf unloading,walking at 2 mph,0
shelf unloading,walking at 3.5 mph,0
shelf unloading,walking at 3 mph,0
shelf unloading,walking outdoor,0
shelf unloading,walking stairs up,0
shelf unloading,walking stairs down,0
shelf unloading,running at 5.5 mph 5% grade on treadmill,0
shelf unloading,biking outdoor,0
shelf unloading,biking stationary at 300 KPM/min,0
shelf unloading,vending machine,1
shelf unloading,frisbee,0
shelf unloading,lying on back,0
shelf unloading,sweeping,0
shelf unloading,folding pile of towels,0
shelf unloading,shelf unloading,0
shelf unloading,shelf reloading,1
shelf unloading,jumping jacks,0
sitting,sitting,235
sitting,standing,0
sitting,on escalator going up,0
sitting,in elevator going up,0
sitting,walking at 1 mph,0
sitting,walking at 2 mph,0
sitting,walking at 3.5 mph,0
sitting,walking at 3 mph,0
sitting,walking outdoor,0
sitting,walking stairs up,0
sitting,walking stairs down,0
sitting,running at 5.5 mph 5% grade on treadmill,0
sitting,biking outdoor,14
sitting,biking stationary at 300 KPM/min,0
sitting,vending machine,0
sitting,frisbee,0
sitting,lying on back,31
sitting,sweeping,1
sitting,folding pile of towels,0
sitting,shelf unloading,0
sitting,shelf reloading,0
sitting,jumping jacks,0
standing,sitting,0
standing,standing,159
standing,on escalator going up,5
standing,in elevator going up,4
standing,walking at 1 mph,2
standing,walking at 2 mph,0
standing,walking at 3.5 mph,0
standing,walking at 3 mph,0
standing,walking outdoor,1
standing,walking stairs up,0
standing,walking stairs down,2
standing,running at 5.5 mph 5% grade on treadmill,0
standing,biking outdoor,4
standing,biking stationary at 300 KPM/min,0
standing,vending machine,3
standing,frisbee,0
standing,lying on back,0
standing,sweeping,22
standing,folding pile of towels,34
standing,shelf unloading,1
standing,shelf reloading,2
standing,jumping jacks,0
sweeping,sitting,0
sweeping,standing,10
sweeping,on escalator going up,0
sweeping,in elevator going up,0
sweeping,walking at 1 mph,0
sweeping,walking at 2 mph,0
sweeping,walking at 3.5 mph,0
sweeping,walking at 3 mph,0
sweeping,walking outdoor,2
sweeping,walking stairs up,0
sweeping,walking stairs down,8
sweeping,running at 5.5 mph 5% grade on treadmill,0
sweeping,biking outdoor,22
sweeping,biking stationary at 300 KPM/min,0
sweeping,vending machine,2
sweeping,frisbee,1
sweeping,lying on back,0
sweeping,sweeping,4
sweeping,folding pile of towels,4
sweeping,shelf unloading,10
sweeping,shelf reloading,9
sweeping,jumping jacks,0
vending machine,sitting,0
vending machine,standing,13
vending machine,on escalator going up,1
vending machine,in elevator going up,0
vending machine,walking at 1 mph,0
vending machine,walking at 2 mph,0
vending machine,walking at 3.5 mph,0
vending machine,walking at 3 mph,0
vending machine,walking outdoor,0
vending machine,walking stairs up,0
vending machine,walking stairs down,0
vending machine,running at 5.5 mph 5% grade on treadmill,0
vending machine,biking outdoor,0
vending machine,biking stationary at 300 KPM/min,0
vending machine,vending machine,2
vending machine,frisbee,0
vending machine,lying on back,0
vending machine,sweeping,2
vending machine,folding pile of towels,3
vending machine,shelf unloading,0
vending machine,shelf reloading,0
vending machine,jumping jacks,0
walking at 1 mph,sitting,0
walking at 1 mph,standing,0
walking at 1 mph,on escalator going up,0
walking at 1 mph,in elevator going up,0
walking at 1 mph,walking at 1 mph,22
walking at 1 mph,walking at 2 mph,0
walking at 1 mph,walking at 3.5 mph,0
walking at 1 mph,walking at 3 mph,0
walking at 1 mph,walking outdoor,0
walking at 1 mph,walking stairs up,0
walking at 1 mph,walking stairs down,0
walking at 1 mph,running at 5.5 mph 5% grade on treadmill,0
walking at 1 mph,biking outdoor,0
walking at 1 mph,biking stationary at 300 KPM/min,0
walking at 1 mph,vending machine,0
walking at 1 mph,frisbee,1
walking at 1 mph,lying on back,0
walking at 1 mph,sweeping,2
walking at 1 mph,folding pile of towels,1
walking at 1 mph,shelf unloading,0
walking at 1 mph,shelf reloading,2
walking at 1 mph,jumping jacks,0
walking at 2 mph,sitting,0
walking at 2 mph,standing,0
walking at 2 mph,on escalator going up,0
walking at 2 mph,in elevator going up,1
walking at 2 mph,walking at 1 mph,0
walking at 2 mph,walking at 2 mph,8
walking at 2 mph,walking at 3.5 mph,0
walking at 2 mph,walking at 3 mph,0
walking at 2 mph,walking outdoor,1
walking at 2 mph,walking stairs up,0
walking at 2 mph,walking stairs down,0
walking at 2 mph,running at 5.5 mph 5% grade on treadmill,0
walking at 2 mph,biking outdoor,0
walking at 2 mph,biking stationary at 300 KPM/min,0
walking at 2 mph,vending machine,0
walking at 2 mph,frisbee,1
walking at 2 mph,lying on back,0
walking at 2 mph,sweeping,0
walking at 2 mph,folding pile of towels,0
walking at 2 mph,shelf unloading,0
walking at 2 mph,shelf reloading,0
walking at 2 mph,jumping jacks,0
walking at 3 mph,sitting,0
walking at 3 mph,standing,0
walking at 3 mph,on escalator going up,0
walking at 3 mph,in elevator going up,0
walking at 3 mph,walking at 1 mph,0
walking at 3 mph,walking at 2 mph,0
walking at 3 mph,walking at 3.5 mph,0
walking at 3 mph,walking at 3 mph,4
walking at 3 mph,walking outdoor,26
walking at 3 mph,walking stairs up,0
walking at 3 mph,walking stairs down,0
walking at 3 mph,running at 5.5 mph 5% grade on treadmill,0
walking at 3 mph,biking outdoor,0
walking at 3 mph,biking stationary at 300 KPM/min,0
walking at 3 mph,vending machine,0
walking at 3 mph,frisbee,0
walking at 3 mph,lying on back,0
walking at 3 mph,sweeping,0
walking at 3 mph,folding pile of towels,0
walking at 3 mph,shelf unloading,0
walking at 3 mph,shelf reloading,0
walking at 3 mph,jumping jacks,0
walking at 3.5 mph,sitting,0
walking at 3.5 mph,standing,0
walking at 3.5 mph,on escalator going up,0
walking at 3.5 mph,in elevator going up,0
walking at 3.5 mph,walking at 1 mph,0
walking at 3.5 mph,walking at 2 mph,0
walking at 3.5 mph,walking at 3.5 mph,46
walking at 3.5 mph,walking at 3 mph,0
walking at 3.5 mph,walking outdoor,24
walking at 3.5 mph,walking stairs up,0
walking at 3.5 mph,walking stairs down,0
walking at 3.5 mph,running at 5.5 mph 5% grade on treadmill,0
walking at 3.5 mph,biking outdoor,0
walking at 3.5 mph,biking stationary at 300 KPM/min,1
walking at 3.5 mph,vending machine,0
walking at 3.5 mph,frisbee,0
walking at 3.5 mph,lying on back,0
walking at 3.5 mph,sweeping,1
walking at 3.5 mph,folding pile of towels,0
walking at 3.5 mph,shelf unloading,0
walking at 3.5 mph,shelf reloading,0
walking at 3.5 mph,jumping jacks,0
walking outdoor,sitting,0
walking outdoor,standing,0
walking outdoor,on escalator going up,0
walking outdoor,in elevator going up,0
walking outdoor,walking at 1 mph,0
walking outdoor,walking at 2 mph,22
walking outdoor,walking at 3.5 mph,0
walking outdoor,walking at 3 mph,155
walking outdoor,walking outdoor,175
walking outdoor,walking stairs up,2
walking outdoor,walking stairs down,9
walking outdoor,running at 5.5 mph 5% grade on treadmill,0
walking outdoor,biking outdoor,0
walking outdoor,biking stationary at 300 KPM/min,0
walking outdoor,vending machine,0
walking outdoor,frisbee,4
walking outdoor,lying on back,0
walking outdoor,sweeping,4
walking outdoor,folding pile of towels,0
walking outdoor,shelf unloading,0
walking outdoor,shelf reloading,0
walking outdoor,jumping jacks,0
walking stairs down,sitting,0
walking stairs down,standing,0
walking stairs down,on escalator going up,0
walking stairs down,in elevator going up,0
walking stairs down,walking at 1 mph,0
walking stairs down,walking at 2 mph,0
walking stairs down,walking at 3.5 mph,0
walking stairs down,walking at 3 mph,0
walking stairs down,walking outdoor,1
walking stairs down,walking stairs up,0
walking stairs down,walking stairs down,2
walking stairs down,running at 5.5 mph 5% grade on treadmill,0
walking stairs down,biking outdoor,0
walking stairs down,biking stationary at 300 KPM/min,0
walking stairs down,vending machine,0
walking stairs down,frisbee,1
walking stairs down,lying on back,0
walking stairs down,sweeping,1
walking stairs down,folding pile of towels,0
walking stairs down,shelf unloading,0
walking stairs down,shelf reloading,0
walking stairs down,jumping jacks,0
walking stairs up,sitting,0
walking stairs up,standing,0
walking stairs up,on escalator going up,0
walking stairs up,in elevator going up,0
walking stairs up,walking at 1 mph,0
walking stairs up,walking at 2 mph,0
walking stairs up,walking at 3.5 mph,0
walking stairs up,walking at 3 mph,0
walking stairs up,walking outdoor,0
walking stairs up,walking stairs up,11
walking stairs up,walking stairs down,7
walking stairs up,running at 5.5 mph 5% grade on treadmill,0
walking stairs up,biking outdoor,1
walking stairs up,biking stationary at 300 KPM/min,0
walking stairs up,vending machine,0
walking stairs up,frisbee,0
walking stairs up,lying on back,0
walking stairs up,sweeping,0
walking stairs up,folding pile of towels,0
walking stairs up,shelf unloading,0
walking stairs up,shelf reloading,0
walking stairs up,jumping jacks,2
